fill_na,Sim_Metric,Components,k_neighboors,mae_test,mse_test,elapsed_time
mean,euclidean,1.0,1.0,1.305673893833306,1.08852217476595,0.20667004585266113
mean,euclidean,1.0,2.0,1.1435277350201232,1.104691562925816,0.22652602195739746
mean,euclidean,1.0,5.0,1.0315548015893028,1.02985090270487,0.25251102447509766
mean,euclidean,1.0,12.0,1.0195729881888609,1.0255327287735134,0.30843019485473633
mean,euclidean,1.0,27.0,1.0091500450491606,1.0224412793803586,0.44121408462524414
mean,euclidean,1.0,61.0,1.0065356874761602,1.0200248979288653,0.7584998607635498
mean,euclidean,1.0,139.0,1.0041321244282229,1.0192147192536702,1.6305441856384277
mean,euclidean,1.0,316.0,1.0034968749663142,1.0189946109580719,3.8137869834899902
mean,euclidean,2.0,1.0,1.180540592274292,1.1184771930358608,0.2021162509918213
mean,euclidean,2.0,2.0,1.0746404568549135,1.0617731143560638,0.2215409278869629
mean,euclidean,2.0,5.0,1.0101057253871866,1.026905383483248,0.26665282249450684
mean,euclidean,2.0,12.0,0.9898707863112274,1.0179836921362,0.3668479919433594
mean,euclidean,2.0,27.0,0.9826351292377281,1.0128508800095732,0.559959888458252
mean,euclidean,2.0,61.0,0.9825574570343951,1.0129791715544807,0.9516708850860596
mean,euclidean,2.0,139.0,0.9857982882260777,1.013788293119496,1.8405718803405762
mean,euclidean,2.0,316.0,0.9916840683101126,1.0154802274488213,7.759061098098755
mean,euclidean,6.0,1.0,1.1352007861881719,1.086185804979216,0.1997079849243164
mean,euclidean,6.0,2.0,1.0271356497007151,1.0323510731023724,0.22669172286987305
mean,euclidean,6.0,5.0,0.9722243454488767,1.0027800890052785,0.32793283462524414
mean,euclidean,6.0,12.0,0.9554111722686871,0.9934180359215835,0.3952810764312744
mean,euclidean,6.0,27.0,0.9553413443503641,0.9936763368461943,0.5671343803405762
mean,euclidean,6.0,61.0,0.9619371747321678,0.997648820842657,1.0263490676879883
mean,euclidean,6.0,139.0,0.9730817778446618,1.0038086380015177,1.9684078693389893
mean,euclidean,6.0,316.0,0.9851141341919614,1.0101569645875592,7.54247522354126
mean,euclidean,14.0,1.0,1.079681685912921,1.0593672940183234,0.21961188316345215
mean,euclidean,14.0,2.0,0.99339789511188,1.0143166607581326,0.23834490776062012
mean,euclidean,14.0,5.0,0.9468485727720194,0.9899475755827355,0.27358078956604004
mean,euclidean,14.0,12.0,0.9380443862447273,0.9848915879368948,0.37485218048095703
mean,euclidean,14.0,27.0,0.9439442207488651,0.9885782467060269,0.5403859615325928
mean,euclidean,14.0,61.0,0.954842983762946,0.9942881023851359,0.9646551609039307
mean,euclidean,14.0,139.0,0.9697951403028097,1.0025527770923683,2.01000714302063
mean,euclidean,14.0,316.0,0.9843585160508831,1.0102132811395983,4.397310972213745
mean,euclidean,35.0,1.0,1.0370998599228731,1.0328726144093356,0.20519113540649414
mean,euclidean,35.0,2.0,0.9636417689107323,0.9985327170508312,0.22821283340454102
mean,euclidean,35.0,5.0,0.9278290929838576,0.983039613968465,0.28402209281921387
mean,euclidean,35.0,12.0,0.9252023323365806,0.9791808927480791,0.3609809875488281
mean,euclidean,35.0,27.0,0.9342672717946213,0.983974269139795,0.5443859100341797
mean,euclidean,35.0,61.0,0.9493725476045327,0.992055949731555,0.9980239868164062
mean,euclidean,35.0,139.0,0.9665992913463555,1.0008843955396378,1.9251129627227783
mean,euclidean,35.0,316.0,0.9833804975399292,1.0093792327416367,4.097543239593506
mean,euclidean,85.0,1.0,1.0157294170868558,1.0220200663532923,0.21682214736938477
mean,euclidean,85.0,2.0,0.9463173186905554,0.9892118459181349,0.23652887344360352
mean,euclidean,85.0,5.0,0.9183733500594924,0.9751565483699917,0.2872200012207031
mean,euclidean,85.0,12.0,0.920491495504821,0.9771940421624513,0.3552670478820801
mean,euclidean,85.0,27.0,0.9321350904995699,0.9834554561741233,0.5382461547851562
mean,euclidean,85.0,61.0,0.9487779230061704,0.992098204860794,1.048429012298584
mean,euclidean,85.0,139.0,0.96688971098187,1.0011563042108815,1.8805797100067139
mean,euclidean,85.0,316.0,0.9845632518979864,1.009856706119459,4.3140480518341064
mean,euclidean,206.0,1.0,0.9890234295487607,1.0108209582001058,0.21834182739257812
mean,euclidean,206.0,2.0,0.9381281764909968,0.984906896345237,0.25255584716796875
mean,euclidean,206.0,5.0,0.9177535555185528,0.9760827343321493,0.2705972194671631
mean,euclidean,206.0,12.0,0.922451272881541,0.9784235839080575,0.3593311309814453
mean,euclidean,206.0,27.0,0.9355532063519787,0.9850057294507457,0.5398797988891602
mean,euclidean,206.0,61.0,0.9523854035393821,0.9935515196180205,0.9587528705596924
mean,euclidean,206.0,139.0,0.9699653308170989,1.0023962416317478,1.8774399757385254
mean,euclidean,206.0,316.0,0.9875223871604993,1.0110884135270148,7.039038181304932
mean,euclidean,501.0,1.0,0.9728891260555669,1.0034672728663392,0.22789716720581055
mean,euclidean,501.0,2.0,0.9326533965267713,0.9822369105100068,0.2523939609527588
mean,euclidean,501.0,5.0,0.9191621537518881,0.9758627953273278,0.3135981559753418
mean,euclidean,501.0,12.0,0.9258052618727132,0.979949090003172,0.42266392707824707
mean,euclidean,501.0,27.0,0.9390406054215541,0.9863262014093359,0.565356969833374
mean,euclidean,501.0,61.0,0.9557216623293892,0.9950630513873674,1.040018081665039
mean,euclidean,501.0,139.0,0.9725109824574485,1.0036097072638612,1.995035171508789
mean,euclidean,501.0,316.0,0.9875991736960259,1.011155317675124,4.913750886917114
mean,cosine,1.0,1.0,1.2840743639221996,1.1454578525195411,0.2514650821685791
mean,cosine,1.0,2.0,1.1398493452801368,1.0868467509900162,0.2606813907623291
mean,cosine,1.0,5.0,1.0558596766824204,1.0500004869341102,0.2815239429473877
mean,cosine,1.0,12.0,1.0234911095275636,1.0335920068120452,0.3633310794830322
mean,cosine,1.0,27.0,1.0113744487373455,1.028424381267695,0.5529191493988037
mean,cosine,1.0,61.0,1.0039595763054912,1.0219195914119261,0.9890780448913574
mean,cosine,1.0,139.0,1.0033258262800782,1.019872822147268,2.0243682861328125
mean,cosine,1.0,316.0,1.0030191476057653,1.0192191130084933,8.276360988616943
mean,cosine,2.0,1.0,1.233347334118461,1.1136563539397415,0.24474191665649414
mean,cosine,2.0,2.0,1.10236780602235,1.0601939287023376,0.23536324501037598
mean,cosine,2.0,5.0,1.0241570245654852,1.019598524106335,0.289168119430542
mean,cosine,2.0,12.0,0.9968203871452718,1.0092710931832738,0.3829801082611084
mean,cosine,2.0,27.0,0.9930185777588156,1.0093076926228386,0.5735869407653809
mean,cosine,2.0,61.0,0.9935126944228124,1.0114288500486048,0.9290609359741211
mean,cosine,2.0,139.0,0.9991027878277721,1.0155837272414425,2.0444350242614746
mean,cosine,2.0,316.0,1.0021919787308267,1.0183833879905388,4.295506954193115
mean,cosine,6.0,1.0,1.1901493921067223,1.10148322305873,0.20181989669799805
mean,cosine,6.0,2.0,1.060836661502537,1.0449535820289069,0.22739505767822266
mean,cosine,6.0,5.0,0.9874669195551977,1.0090965703152206,0.2794818878173828
mean,cosine,6.0,12.0,0.9657776920300942,0.9979727626007567,0.35762715339660645
mean,cosine,6.0,27.0,0.9665688254657293,1.0000645227075444,0.5411651134490967
mean,cosine,6.0,61.0,0.9754934248317069,1.005440290727699,0.9933247566223145
mean,cosine,6.0,139.0,0.9906179133131524,1.0131293056049742,2.0268678665161133
mean,cosine,6.0,316.0,1.0003171880550916,1.017824177415649,4.386034965515137
mean,cosine,14.0,1.0,1.1828297559615637,1.09971060260769,0.23971772193908691
mean,cosine,14.0,2.0,1.0475128459691552,1.037910802926152,0.3044281005859375
mean,cosine,14.0,5.0,0.9785646008635619,1.0059995340421046,0.2993142604827881
mean,cosine,14.0,12.0,0.9609686929450856,0.9976514855756613,0.3871469497680664
mean,cosine,14.0,27.0,0.9659602271121196,1.000176604847524,0.5644772052764893
mean,cosine,14.0,61.0,0.9789068068822321,1.006976040417372,1.0129730701446533
mean,cosine,14.0,139.0,0.994383960558601,1.0150134711100292,2.1622469425201416
mean,cosine,14.0,316.0,1.0016250511343383,1.0184534531952483,9.92036509513855
mean,cosine,35.0,1.0,1.168377040878216,1.0877995106124319,0.22472596168518066
mean,cosine,35.0,2.0,1.042049547257386,1.0322221053134348,0.24405694007873535
mean,cosine,35.0,5.0,0.9701141830889979,0.999247483056111,0.30066490173339844
mean,cosine,35.0,12.0,0.9597145588030213,0.9965581221027809,0.4058830738067627
mean,cosine,35.0,27.0,0.9640202446172975,0.9981972732583047,0.6052989959716797
mean,cosine,35.0,61.0,0.9800934723177352,1.0071030679067845,1.1025598049163818
mean,cosine,35.0,139.0,0.9959594444201555,1.0153805981338375,2.140650987625122
mean,cosine,35.0,316.0,1.0020218144471233,1.018594712547996,8.772603988647461
mean,cosine,85.0,1.0,1.1676770271628143,1.0864054511889316,0.24056506156921387
mean,cosine,85.0,2.0,1.0444038757365597,1.0353419247486213,0.2525162696838379
mean,cosine,85.0,5.0,0.9718094409215423,1.0027544927455756,0.29013705253601074
mean,cosine,85.0,12.0,0.9594755951675156,0.9948095333807684,0.371290922164917
mean,cosine,85.0,27.0,0.9697569742714918,1.0013129715660463,0.5593960285186768
mean,cosine,85.0,61.0,0.9857430680291857,1.0102076107649216,0.9437792301177979
mean,cosine,85.0,139.0,0.9973161147427715,1.0164223398777643,1.8507351875305176
mean,cosine,85.0,316.0,1.0024375491683788,1.018836538633203,14.389252185821533
mean,cosine,206.0,1.0,1.142160513088226,1.0707921555742732,0.30683016777038574
mean,cosine,206.0,2.0,1.0291747113190954,1.0246745436438078,0.3314809799194336
mean,cosine,206.0,5.0,0.9737404407780832,1.0049584916256258,0.37278223037719727
mean,cosine,206.0,12.0,0.969260751769915,1.0035805171781582,0.6286020278930664
mean,cosine,206.0,27.0,0.9768797255555087,1.005349552855541,0.9286139011383057
mean,cosine,206.0,61.0,0.9871896289130654,1.0098707652266707,1.0975821018218994
mean,cosine,206.0,139.0,0.9995478652534832,1.01711918543414,2.1765732765197754
mean,cosine,206.0,316.0,1.00295685415664,1.0191148393521483,9.924355030059814
mean,cosine,501.0,1.0,1.142065694078555,1.0794479558463659,0.3559837341308594
mean,cosine,501.0,2.0,1.0198661921940355,1.0263917278117423,0.4292478561401367
mean,cosine,501.0,5.0,0.9632206937510359,0.9988584437955651,0.39133191108703613
mean,cosine,501.0,12.0,0.9638627831471762,0.9995831364383431,0.4859471321105957
mean,cosine,501.0,27.0,0.9788963773114202,1.0067906677719038,0.7300748825073242
mean,cosine,501.0,61.0,0.9932134245895868,1.0129220631117732,1.1596288681030273
mean,cosine,501.0,139.0,1.0025016299895801,1.0186405048508327,2.3598268032073975
mean,cosine,501.0,316.0,1.0034149233044656,1.0193931594888876,7.711101055145264
