fill_na,Sim_Metric,Components,k_neighboors,mae_test,mse_test,elapsed_time
mean,euclidean,1.0,1.0,1.6670889982841703,1.2427373402178359,0.21176815032958984
mean,euclidean,1.0,2.0,1.386099829247392,1.2197489207711067,0.1928410530090332
mean,euclidean,1.0,5.0,1.355634160686086,1.196083245293412,0.2209618091583252
mean,euclidean,1.0,12.0,1.3574628484816387,1.117469793989383,0.2499537467956543
mean,euclidean,1.0,27.0,1.3546648223071436,1.1477743827896858,0.3040459156036377
mean,euclidean,1.0,61.0,1.378980327475002,1.1723641102977218,0.4380948543548584
mean,euclidean,1.0,139.0,1.473475382171516,1.2442292346256574,0.7785420417785645
mean,euclidean,1.0,316.0,1.5673707534559573,1.2869089812160233,2.3397037982940674
mean,euclidean,2.0,1.0,1.7752520746577314,1.323140207880478,0.19341182708740234
mean,euclidean,2.0,2.0,1.4976510984735272,1.2272192959355328,0.19051432609558105
mean,euclidean,2.0,5.0,1.3710751462958604,1.1782837214745847,0.2258141040802002
mean,euclidean,2.0,12.0,1.3084510683362363,1.1509692903137891,0.3426382541656494
mean,euclidean,2.0,27.0,1.3064429840384422,1.1500504932427877,0.3508589267730713
mean,euclidean,2.0,61.0,1.3186374751040602,1.1526640802669896,0.5033700466156006
mean,euclidean,2.0,139.0,1.3515050972809313,1.1706425186705907,0.8861100673675537
mean,euclidean,2.0,316.0,1.4029442274243393,1.2003137286210337,3.265583038330078
mean,euclidean,6.0,1.0,1.7015509291144648,1.301428505481108,0.2089989185333252
mean,euclidean,6.0,2.0,1.4197747714557913,1.1966949237670879,0.20523595809936523
mean,euclidean,6.0,5.0,1.2779682772412118,1.1316229110463543,0.24599194526672363
mean,euclidean,6.0,12.0,1.2315390137558844,1.1142950230690445,0.29210805892944336
mean,euclidean,6.0,27.0,1.245017051599591,1.125735708428245,0.3620758056640625
mean,euclidean,6.0,61.0,1.281742800803433,1.150972357444831,0.5647280216217041
mean,euclidean,6.0,139.0,1.3585194840355392,1.1876967979733895,1.077927827835083
mean,euclidean,6.0,316.0,1.4959216851014776,1.2514842345162924,4.1344287395477295
mean,euclidean,14.0,1.0,1.4915420330304336,1.18651411063593,0.1864919662475586
mean,euclidean,14.0,2.0,1.3075187595215871,1.1406134313156504,0.18269968032836914
mean,euclidean,14.0,5.0,1.2015990978863746,1.0973174922854785,0.21628713607788086
mean,euclidean,14.0,12.0,1.202808496440559,1.1009120208682122,0.24872398376464844
mean,euclidean,14.0,27.0,1.230751018870154,1.1178611352774528,0.391237735748291
mean,euclidean,14.0,61.0,1.2845377741927246,1.1371158420868828,0.5253770351409912
mean,euclidean,14.0,139.0,1.3866462393043557,1.1878690918625747,0.8377490043640137
mean,euclidean,14.0,316.0,1.5634829184020285,1.270371817123924,3.743292808532715
mean,euclidean,35.0,1.0,1.4197825533627693,1.19809223786096,0.21266508102416992
mean,euclidean,35.0,2.0,1.253319326476382,1.1182674633839278,0.21273517608642578
mean,euclidean,35.0,5.0,1.18414221271963,1.0946472506136204,0.25652575492858887
mean,euclidean,35.0,12.0,1.1957142926037267,1.0991362298667753,0.2789902687072754
mean,euclidean,35.0,27.0,1.2424274876869708,1.1177868384475995,0.33371901512145996
mean,euclidean,35.0,61.0,1.332234051781204,1.1601449939999733,0.48323822021484375
mean,euclidean,35.0,139.0,1.5273965811984336,1.2541719732624703,1.1547839641571045
mean,euclidean,35.0,316.0,1.6150726702539213,1.2832182630545093,4.392154932022095
mean,euclidean,85.0,1.0,1.3703420469802452,1.1490364854611332,0.21348905563354492
mean,euclidean,85.0,2.0,1.2286590319457753,1.1095390663198472,0.23824214935302734
mean,euclidean,85.0,5.0,1.1644823509828581,1.0837275705904292,0.24489307403564453
mean,euclidean,85.0,12.0,1.1867753917302861,1.0964338788388934,0.265733003616333
mean,euclidean,85.0,27.0,1.2427755487175398,1.1274403592818614,0.3761880397796631
mean,euclidean,85.0,61.0,1.3534594203464234,1.1880998548902089,0.5207219123840332
mean,euclidean,85.0,139.0,1.547382974083665,1.2727017028741887,0.9980123043060303
