fill_na,Sim_Metric,Components,k_neighboors,mae_test,mse_test,elapsed_time
mean,euclidean,1.0,1.0,1.4729862581893414,1.2339162473139376,0.19105887413024902
mean,euclidean,1.0,2.0,1.2419912887593936,1.1560428011926516,0.20115017890930176
mean,euclidean,1.0,5.0,1.134398826962161,1.0630743144962642,0.22012805938720703
mean,euclidean,1.0,12.0,1.1082484508747827,1.055225724064,0.24877691268920898
mean,euclidean,1.0,27.0,1.110055255232674,1.0634612165559463,0.30135297775268555
mean,euclidean,1.0,61.0,1.1143583832455575,1.0680441866545407,0.43146800994873047
mean,euclidean,1.0,139.0,1.1103565779585831,1.057830704735759,0.7717642784118652
mean,euclidean,1.0,316.0,1.1074733744425291,1.0519727503334768,1.7428598403930664
mean,euclidean,2.0,1.0,1.267498029418755,1.126588703584571,0.25580310821533203
mean,euclidean,2.0,2.0,1.1341451508910823,1.0707181562495345,0.21463990211486816
mean,euclidean,2.0,5.0,1.0513216347258447,1.0268789219937557,0.2162940502166748
mean,euclidean,2.0,12.0,1.0198504736090024,1.0082873025351962,0.25045299530029297
mean,euclidean,2.0,27.0,1.0103017957246738,1.0028025527993973,0.352977991104126
mean,euclidean,2.0,61.0,1.0180262713412846,1.0020201554291948,0.6085891723632812
mean,euclidean,2.0,139.0,1.062897701547947,1.016039077499766,0.95583176612854
mean,euclidean,2.0,316.0,1.0944505425043047,1.041981189901815,2.5832560062408447
mean,euclidean,6.0,1.0,1.1419987363929696,1.0794761660823564,0.1989917755126953
mean,euclidean,6.0,2.0,0.9992013938370219,1.0068147504778155,0.20529794692993164
mean,euclidean,6.0,5.0,0.923709653501422,0.9629015178705647,0.23775124549865723
mean,euclidean,6.0,12.0,0.9093061551105261,0.9545351137184522,0.2573671340942383
mean,euclidean,6.0,27.0,0.9219045968520616,0.9580857111850709,0.31237196922302246
mean,euclidean,6.0,61.0,0.9625208667692196,0.9753093897571411,0.4315638542175293
mean,euclidean,6.0,139.0,1.0382610153075038,1.0129587099328161,0.8436169624328613
mean,euclidean,6.0,316.0,1.0975004072184191,1.0442061505053366,1.9148728847503662
mean,euclidean,14.0,1.0,1.0801753253880992,1.048469393991006,0.2021932601928711
mean,euclidean,14.0,2.0,0.9604505463132907,0.9868854725679366,0.2015671730041504
mean,euclidean,14.0,5.0,0.9032414941871609,0.9517645988081401,0.22703003883361816
mean,euclidean,14.0,12.0,0.903727218644436,0.9514725059229486,0.3285648822784424
