fill_na,Sim_Metric,Components,k_neighboors,mae_test,mse_test,elapsed_time
mean,euclidean,1.0,1.0,1.2136756911347288,1.0270594989850264,0.21735787391662598
mean,euclidean,1.0,2.0,1.1079708620116218,1.0049159365650182,0.26518821716308594
mean,euclidean,1.0,5.0,1.0027133729931232,0.9867859148814748,0.274777889251709
mean,euclidean,1.0,12.0,0.9869161882989657,0.9794125951074549,0.49417805671691895
mean,euclidean,1.0,27.0,0.9765413750975197,0.9725270010048139,0.6287181377410889
mean,euclidean,1.0,61.0,0.9758588272051835,0.9708982567561314,1.0247249603271484
mean,euclidean,1.0,139.0,0.9738684131303564,0.970178319599624,2.074720859527588
mean,euclidean,1.0,316.0,0.9763733928438733,0.9720996966197939,5.155488967895508
mean,euclidean,2.0,1.0,1.142118677923728,1.0520846373513573,0.23069477081298828
mean,euclidean,2.0,2.0,1.0449804867639572,1.0074758514498239,0.25772619247436523
mean,euclidean,2.0,5.0,0.9876419129087871,0.9793625639168275,0.2776329517364502
mean,euclidean,2.0,12.0,0.964622687898367,0.9673226477843955,0.35308074951171875
mean,euclidean,2.0,27.0,0.9558832299132675,0.9619729904047991,0.5282340049743652
mean,euclidean,2.0,61.0,0.9537759431324361,0.9607273423742752,0.9896440505981445
mean,euclidean,2.0,139.0,0.9557803905791822,0.9618594496582649,2.160684108734131
mean,euclidean,2.0,316.0,0.9701950239130719,0.968894420848227,4.549336910247803
mean,euclidean,6.0,1.0,1.1097161808162672,1.0489603193472263,0.2789781093597412
mean,euclidean,6.0,2.0,0.9964198032108585,0.9899532297904743,0.2779390811920166
mean,euclidean,6.0,5.0,0.9312340906907642,0.9510015407865877,0.3195929527282715
mean,euclidean,6.0,12.0,0.9124498706672649,0.9390531529174684,0.41908788681030273
mean,euclidean,6.0,27.0,0.9119810919017434,0.9393485264972005,0.5687780380249023
mean,euclidean,6.0,61.0,0.9205110603212997,0.9439119308730535,0.989882230758667
mean,euclidean,6.0,139.0,0.9379941057504501,0.9525830321878969,1.9681510925292969
mean,euclidean,6.0,316.0,0.9625966800231188,0.9647668583649576,4.119647979736328
mean,euclidean,14.0,1.0,1.072325453723794,1.032719485439848,0.24444818496704102
mean,euclidean,14.0,2.0,0.958089151246004,0.9670509052295058,0.23637914657592773
mean,euclidean,14.0,5.0,0.8983064425817231,0.9315529741241981,0.275562047958374
mean,euclidean,14.0,12.0,0.8831300131441221,0.9231773262430673,0.3591439723968506
mean,euclidean,14.0,27.0,0.8880868683318441,0.9257179295421241,0.5275130271911621
mean,euclidean,14.0,61.0,0.9045174000002608,0.9345692950561323,1.0491480827331543
mean,euclidean,14.0,139.0,0.9279815396819991,0.9467248821535256,2.1306071281433105
mean,euclidean,14.0,316.0,0.9576789669289051,0.9619072430662033,6.482011079788208
mean,euclidean,35.0,1.0,1.0367187603718893,1.0126006643966692,0.21978402137756348
mean,euclidean,35.0,2.0,0.9259422670325687,0.9509176622725698,0.2140789031982422
mean,euclidean,35.0,5.0,0.8684050261930077,0.9173174755117464,0.26165008544921875
mean,euclidean,35.0,12.0,0.8597296086788475,0.9113293055787098,0.34471702575683594
mean,euclidean,35.0,27.0,0.8689325019225054,0.915113114720464,0.5126278400421143
mean,euclidean,35.0,61.0,0.8893136689305524,0.9264166051608852,0.8818087577819824
mean,euclidean,35.0,139.0,0.9170688887517008,0.9409476045504209,1.7967708110809326
mean,euclidean,35.0,316.0,0.9516594841892649,0.9587569611228413,4.396116018295288
mean,euclidean,85.0,1.0,1.0088499795206605,0.9988289642733289,0.2131187915802002
mean,euclidean,85.0,2.0,0.8994880094827981,0.9361716901448769,0.21948003768920898
mean,euclidean,85.0,5.0,0.8425360841075338,0.90263779603534,0.2679109573364258
mean,euclidean,85.0,12.0,0.835318844989068,0.8968025551458845,0.34076905250549316
mean,euclidean,85.0,27.0,0.8481828220334754,0.9042664506605725,0.5037741661071777
mean,euclidean,85.0,61.0,0.8733520373699627,0.9171528455549077,0.9546170234680176
mean,euclidean,85.0,139.0,0.9057347080013338,0.9346533940716332,1.8297531604766846
