fill_na,Sim_Metric,Components,k_neighboors,mae_test,mse_test,elapsed_time
mean,euclidean,1.0,1.0,1.6867314669134887,1.3007264044196538,0.20524287223815918
mean,euclidean,1.0,2.0,1.355617290097124,1.13098051066037,0.1719651222229004
mean,euclidean,1.0,3.0,1.2975609108041988,1.1085532646260599,0.16559410095214844
mean,euclidean,1.0,4.0,1.457021578199929,1.2910416356303285,0.15594887733459473
mean,euclidean,1.0,5.0,1.3621888592041114,1.1856553725040573,0.16727709770202637
mean,euclidean,1.0,7.0,1.3063241402896577,1.1441596216649057,0.17115426063537598
mean,euclidean,1.0,10.0,1.2985380494539076,1.1231517316153503,0.2097029685974121
mean,euclidean,1.0,14.0,1.276654547432766,1.102874143832735,0.2032639980316162
mean,euclidean,1.0,19.0,1.2807987766492588,1.10022797091058,0.2032928466796875
mean,euclidean,1.0,27.0,1.2891575869651282,1.106832696364017,0.2525629997253418
mean,euclidean,1.0,37.0,1.2880968966448314,1.1284616150087827,0.26138782501220703
mean,euclidean,1.0,52.0,1.3242109898177614,1.1349510871218194,0.39571475982666016
mean,euclidean,1.0,72.0,1.35410785159513,1.1459525475952974,0.4832649230957031
mean,euclidean,1.0,100.0,1.4397250756614826,1.1817472838745278,0.5701470375061035
mean,euclidean,2.0,1.0,1.7563587389673283,1.328058804137224,0.3332972526550293
mean,euclidean,2.0,2.0,1.508375237064513,1.1969503243266348,0.1534121036529541
mean,euclidean,2.0,3.0,1.4458341521175,1.175930924736708,0.162431001663208
mean,euclidean,2.0,4.0,1.3983038557135963,1.1592072160768911,0.16707205772399902
mean,euclidean,2.0,5.0,1.380922751590289,1.1562285980789448,0.16397476196289062
mean,euclidean,2.0,7.0,1.3421773098901228,1.1386612088625714,0.19440412521362305
mean,euclidean,2.0,10.0,1.3308677252707806,1.132222352430095,0.23552513122558594
mean,euclidean,2.0,14.0,1.3261072084837737,1.1286088430267585,0.3279240131378174
mean,euclidean,2.0,19.0,1.3124978635953672,1.124161307737398,0.25413990020751953
mean,euclidean,2.0,27.0,1.3084170671376674,1.1220844441857485,0.31050801277160645
mean,euclidean,2.0,37.0,1.3021314599123055,1.1233788627999934,0.2816166877746582
mean,euclidean,2.0,52.0,1.3062742962571279,1.1275966930614996,0.3602778911590576
