fill_na,Sim_Metric,Components,k_neighboors,mae_test,mse_test,elapsed_time
mean,euclidean,1.0,1.0,1.3186360759122815,1.157903617792621,0.194580078125
mean,euclidean,1.0,2.0,1.1240565008844523,1.0420785439646318,0.198944091796875
mean,euclidean,1.0,3.0,1.074520912780544,1.0183105626411788,0.20258736610412598
mean,euclidean,1.0,4.0,1.0480246886671634,1.0057198739463797,0.23364019393920898
mean,euclidean,1.0,5.0,1.0349242173001447,0.999915589933356,0.23636507987976074
mean,euclidean,1.0,7.0,1.0262399610422777,0.9958714934378992,0.2282397747039795
mean,euclidean,1.0,10.0,1.0187871337591485,0.9938574798007308,0.26537275314331055
mean,euclidean,1.0,14.0,1.0146155265080055,0.9923560876226599,0.2721717357635498
mean,euclidean,1.0,19.0,1.0133215151983201,0.9932535952367253,0.3236558437347412
mean,euclidean,1.0,27.0,1.0102161951540012,0.9907766067633039,0.4040389060974121
mean,euclidean,1.0,37.0,1.0077480996309176,0.9895874581673051,0.4666008949279785
mean,euclidean,1.0,52.0,1.0062192491643072,0.988841724627316,0.5839931964874268
mean,euclidean,1.0,72.0,1.0051320546074567,0.988073791577414,1.0343029499053955
mean,euclidean,1.0,100.0,1.004497828815044,0.9877644754260857,1.070204734802246
mean,euclidean,2.0,1.0,1.1798204083678105,1.0794950650809483,0.18535709381103516
mean,euclidean,2.0,2.0,1.0713893781145924,1.0275733107660108,0.20479297637939453
mean,euclidean,2.0,3.0,1.0366692103104151,1.0134654719693186,0.1971440315246582
mean,euclidean,2.0,4.0,1.017914473147783,1.0042150164876418,0.21267104148864746
mean,euclidean,2.0,5.0,1.008672738546286,0.9985427612004044,0.2479400634765625
mean,euclidean,2.0,7.0,0.9972837302662285,0.9923241000498328,0.23532986640930176
mean,euclidean,2.0,10.0,0.9896391806127506,0.9894027036696983,0.26018404960632324
mean,euclidean,2.0,14.0,0.9849966550645476,0.9867405570941814,0.3039591312408447
mean,euclidean,2.0,19.0,0.9820337806412386,0.9846734867977264,0.33066415786743164
mean,euclidean,2.0,27.0,0.9813624366592878,0.983359301281701,0.4307260513305664
mean,euclidean,2.0,37.0,0.9806815647347558,0.9822782675670194,0.4950261116027832
mean,euclidean,2.0,52.0,0.9807638570623421,0.9815953985993489,0.6355748176574707
mean,euclidean,2.0,72.0,0.9809468046258415,0.9814028640660032,0.8242857456207275
mean,euclidean,2.0,100.0,0.981683805934142,0.9814716631341226,1.0568287372589111
mean,euclidean,3.0,1.0,1.1538768308097616,1.0508526159073548,0.19534993171691895
mean,euclidean,3.0,2.0,1.056666395204114,1.0169520971431023,0.19422578811645508
mean,euclidean,3.0,3.0,1.0249856310573375,1.0051775661181144,0.2086038589477539
mean,euclidean,3.0,4.0,1.0065025761659083,0.9968974005464943,0.232222318649292
mean,euclidean,3.0,5.0,0.9964891799330701,0.9933754374288544,0.23382115364074707
mean,euclidean,3.0,7.0,0.9864676808796398,0.9877784946647866,0.24603796005249023
mean,euclidean,3.0,10.0,0.978299490325359,0.9842719952282045,0.26159191131591797
mean,euclidean,3.0,14.0,0.9734872154237804,0.981405520381553,0.32336997985839844
mean,euclidean,3.0,19.0,0.9717154149352094,0.9802863913605022,0.34009218215942383
mean,euclidean,3.0,27.0,0.9709932740153603,0.979663849756966,0.4277632236480713
mean,euclidean,3.0,37.0,0.9715539220325509,0.9791792120924085,0.5288529396057129
mean,euclidean,3.0,52.0,0.9731304385671319,0.9793654570449157,0.6647276878356934
mean,euclidean,3.0,72.0,0.9746170317752382,0.979445879364245,0.8881709575653076
