fill_na,Sim_Metric,Components,k_neighboors,mae_test,mse_test,elapsed_time
mean,euclidean,1.0,1.0,1.859562297572208,1.3985593037242334,0.7193479537963867
mean,euclidean,1.0,2.0,1.436130197243194,1.174637224927439,0.5607690811157227
mean,euclidean,1.0,3.0,1.377867907576525,1.1481291532861615,0.6026449203491211
mean,euclidean,1.0,4.0,1.3346129543668082,1.1362483081486583,0.6250278949737549
mean,euclidean,1.0,5.0,1.3271633852359677,1.1316508181700609,0.6742153167724609
mean,euclidean,1.0,7.0,1.285724170955333,1.1342553932738726,0.7379419803619385
mean,euclidean,1.0,10.0,1.2666933033009586,1.1312433135190532,0.8392200469970703
mean,euclidean,1.0,14.0,1.273693866548571,1.1392793681481803,0.9958329200744629
mean,euclidean,1.0,19.0,1.2789760794661038,1.1398403080316326,1.161275863647461
mean,euclidean,1.0,27.0,1.304852050962988,1.1523558624123158,1.4509780406951904
mean,euclidean,1.0,37.0,1.3249130956470423,1.153083454539024,2.735531806945801
mean,euclidean,1.0,52.0,1.3388701009580029,1.1518206799479185,5.051585912704468
mean,euclidean,1.0,72.0,1.3392115479661029,1.158058887722888,7.967342853546143
mean,euclidean,1.0,100.0,1.3514704275882459,1.1647729930775599,12.343008041381836
mean,euclidean,2.0,1.0,1.7126302432540874,1.280500193798311,0.7302062511444092
mean,euclidean,2.0,2.0,1.4814785675098483,1.2047523419621893,0.5513620376586914
mean,euclidean,2.0,3.0,1.3918086657905797,1.178272833927477,0.625438928604126
mean,euclidean,2.0,4.0,1.348318918082675,1.1677820457991823,0.6838340759277344
mean,euclidean,2.0,5.0,1.330910091924123,1.160625585750916,0.7032651901245117
mean,euclidean,2.0,7.0,1.3107818346140276,1.1502817062494721,0.7732281684875488
mean,euclidean,2.0,10.0,1.2912647465850635,1.142977649742346,0.8826019763946533
mean,euclidean,2.0,14.0,1.2771392754083373,1.1368852894799206,1.032804012298584
mean,euclidean,2.0,19.0,1.267527680730805,1.131048156605882,1.227315902709961
mean,euclidean,2.0,27.0,1.259860228664431,1.1317339486507432,1.5382869243621826
mean,euclidean,2.0,37.0,1.2608879681249405,1.1312349760901363,2.7201881408691406
mean,euclidean,2.0,52.0,1.2581966305441852,1.133132638555402,4.970082998275757
mean,euclidean,2.0,72.0,1.259070343508411,1.1326492742738872,9.387799978256226
mean,euclidean,2.0,100.0,1.2642842397035023,1.1333145716871083,18.584606885910034
mean,euclidean,3.0,1.0,1.7061411209784267,1.2971541338841,0.7087481021881104
mean,euclidean,3.0,2.0,1.4536323039898078,1.2189913450663314,0.5479650497436523
mean,euclidean,3.0,3.0,1.3756458203816897,1.1835303140949518,0.6209931373596191
mean,euclidean,3.0,4.0,1.3296931924982833,1.1701714229831714,0.6831879615783691
mean,euclidean,3.0,5.0,1.3073395370731142,1.156998396242709,0.7149698734283447
mean,euclidean,3.0,7.0,1.2807915707331055,1.151604127077473,0.8242859840393066
mean,euclidean,3.0,10.0,1.2578952093552833,1.1388548878906142,0.9280140399932861
mean,euclidean,3.0,14.0,1.243532026868437,1.127164476897473,1.060849905014038
mean,euclidean,3.0,19.0,1.240119074258708,1.1243710468611816,1.2781171798706055
mean,euclidean,3.0,27.0,1.238235533600101,1.1242840537396894,2.5645360946655273
mean,euclidean,3.0,37.0,1.2374658003010266,1.1209605940080494,3.0668816566467285
mean,euclidean,3.0,52.0,1.2417429520575305,1.121715804906872,5.2993080615997314
mean,euclidean,3.0,72.0,1.2451698477443331,1.1236961692505973,10.124063968658447
mean,euclidean,3.0,100.0,1.2497667805624364,1.1263499510795525,12.42369794845581
mean,euclidean,4.0,1.0,1.6656765266158413,1.297956953144671,0.7154428958892822
mean,euclidean,4.0,2.0,1.4166227053997218,1.1991234591551378,0.6355850696563721
mean,euclidean,4.0,3.0,1.3402253229174559,1.161929994784201,0.6439559459686279
mean,euclidean,4.0,4.0,1.3036203380259723,1.1503922093560168,0.6763451099395752
mean,euclidean,4.0,5.0,1.2772632810953648,1.1433677077739532,0.7175390720367432
mean,euclidean,4.0,7.0,1.2487658068239285,1.1289440375674231,0.811182975769043
mean,euclidean,4.0,10.0,1.2252038633065152,1.1227883350821355,0.9005579948425293
mean,euclidean,4.0,14.0,1.212337919083818,1.1168314006507305,1.0559260845184326
mean,euclidean,4.0,19.0,1.2087117153043234,1.1103869580991699,1.2334039211273193
mean,euclidean,4.0,27.0,1.2088621494918335,1.1110470764735598,1.7152581214904785
mean,euclidean,4.0,37.0,1.2122555003475157,1.1095544366505996,3.123948097229004
mean,euclidean,4.0,52.0,1.218585429467694,1.1130214746435338,5.524071216583252
mean,euclidean,4.0,72.0,1.227285124974736,1.1155284597200736,9.074225187301636
mean,euclidean,4.0,100.0,1.235279797828878,1.1185236231370277,12.885448932647705
mean,euclidean,7.0,1.0,1.5343026251815683,1.2688797558920748,0.7039780616760254
mean,euclidean,7.0,2.0,1.3267441710675278,1.1765520668314398,0.5652468204498291
mean,euclidean,7.0,3.0,1.2649454080351243,1.1446645641231232,0.612022876739502
mean,euclidean,7.0,4.0,1.2438689551323658,1.134705345222099,0.6699745655059814
mean,euclidean,7.0,5.0,1.221537522650116,1.1231207864361388,0.7076091766357422
mean,euclidean,7.0,7.0,1.208402081117311,1.1188793529541956,0.7750616073608398
mean,euclidean,7.0,10.0,1.1982620726644861,1.1069250385108362,0.8945531845092773
mean,euclidean,7.0,14.0,1.1942183419788708,1.1078003245452168,1.0340049266815186
mean,euclidean,7.0,19.0,1.1942305518621648,1.1078712038711167,1.2181239128112793
mean,euclidean,7.0,27.0,1.1993629436254385,1.111052658511561,1.533569097518921
mean,euclidean,7.0,37.0,1.2077614049997734,1.1176805157131837,3.828108072280884
mean,euclidean,7.0,52.0,1.215289834016639,1.1196879410921523,5.0223307609558105
mean,euclidean,7.0,72.0,1.225577428569423,1.1210273660739742,10.35682201385498
mean,euclidean,7.0,100.0,1.2372151891033867,1.1263448567807413,13.581492900848389
mean,euclidean,12.0,1.0,1.4842264455258092,1.2052860706359567,0.716627836227417
mean,euclidean,12.0,2.0,1.2750464285858907,1.1299681498248897,0.5469880104064941
mean,euclidean,12.0,3.0,1.2118691176667273,1.1057740456514,0.6140570640563965
mean,euclidean,12.0,4.0,1.1873605450043345,1.1014025027758267,0.6631848812103271
mean,euclidean,12.0,5.0,1.1775811445251336,1.095113600489757,0.7067577838897705
mean,euclidean,12.0,7.0,1.160331712439595,1.0867187468576265,0.7824170589447021
mean,euclidean,12.0,10.0,1.154140295626678,1.0859833332757276,0.8934578895568848
mean,euclidean,12.0,14.0,1.1522255817924036,1.0824361589475693,1.0706591606140137
mean,euclidean,12.0,19.0,1.1557428195140944,1.0829220511721953,1.2375268936157227
mean,euclidean,12.0,27.0,1.1640345157618366,1.0866268346558914,2.292428970336914
mean,euclidean,12.0,37.0,1.1758153692077051,1.092150728635293,2.4562809467315674
mean,euclidean,12.0,52.0,1.1855959706776076,1.0930325461017083,4.548912048339844
mean,euclidean,12.0,72.0,1.1987133809361092,1.0995009592980813,9.412277936935425
mean,euclidean,12.0,100.0,1.2130599475488877,1.1064573248393803,18.858273029327393
mean,euclidean,19.0,1.0,1.4236696915098161,1.19078065380641,0.734525203704834
mean,euclidean,19.0,2.0,1.2277772286663091,1.1209871368752837,0.5784139633178711
mean,euclidean,19.0,3.0,1.17844957090765,1.0911113571656936,0.641793966293335
mean,euclidean,19.0,4.0,1.152037774108815,1.0845010048088146,0.6615159511566162
mean,euclidean,19.0,5.0,1.1395920835668605,1.0820620245617394,0.7172179222106934
mean,euclidean,19.0,7.0,1.1259360175850754,1.0697688001224044,0.79026198387146
mean,euclidean,19.0,10.0,1.1252816063503186,1.0698461335520355,0.9113941192626953
mean,euclidean,19.0,14.0,1.1283014734436114,1.0696165467525824,1.0777931213378906
mean,euclidean,19.0,19.0,1.1392175566892304,1.0775412631423866,1.7959890365600586
mean,euclidean,19.0,27.0,1.1467537337312834,1.0810713541771424,1.938582181930542
mean,euclidean,19.0,37.0,1.158697437258488,1.0850442624430543,3.3803751468658447
mean,euclidean,19.0,52.0,1.1734596180187942,1.0906957887212643,5.337219953536987
mean,euclidean,19.0,72.0,1.1891085155164465,1.0968737544450866,7.6778271198272705
mean,euclidean,19.0,100.0,1.205638057770156,1.1048847796347878,11.563208103179932
mean,euclidean,32.0,1.0,1.37197626687484,1.1977364049185173,0.9211132526397705
mean,euclidean,32.0,2.0,1.195807578016439,1.1012302356086277,0.6132528781890869
mean,euclidean,32.0,3.0,1.13982689260635,1.0725770498432459,0.6231231689453125
