fill_na,Sim_Metric,Components,k_neighboors,mae_test,mse_test,elapsed_time
mean,euclidean,1.0,1.0,0.9960559205151807,1.018222914802628,1.4418129920959473
mean,euclidean,1.0,2.0,0.9831324767132031,0.9870181514573396,1.164984941482544
mean,euclidean,1.0,3.0,0.9733026201271316,0.9776713886843579,1.4223301410675049
mean,euclidean,1.0,4.0,0.9871078572485084,0.9780758042481593,1.4839122295379639
mean,euclidean,1.0,5.0,0.9771456902284088,0.9756574877356667,1.7277319431304932
mean,euclidean,1.0,7.0,0.9696897949898234,0.9718502992152849,1.8601748943328857
mean,euclidean,1.0,10.0,0.9650481173827155,0.9722819953544292,2.0090670585632324
mean,euclidean,1.0,14.0,0.9611185937663123,0.9704960464150395,2.7437148094177246
mean,euclidean,1.0,19.0,0.9587107633893568,0.9709383720711015,3.3933768272399902
mean,euclidean,1.0,27.0,0.9554950932468106,0.9697020068618688,7.92829704284668
mean,euclidean,1.0,37.0,0.9545800131780867,0.9686840022259129,9.50455904006958
mean,euclidean,1.0,52.0,0.9536273385565659,0.9681040757455464,15.001474142074585
mean,euclidean,1.0,72.0,0.9528812668628571,0.9678052961417477,36.453556060791016
mean,euclidean,1.0,100.0,0.9521237326247155,0.9674579970558235,69.95881128311157
mean,euclidean,2.0,1.0,1.1011873114047697,1.0350853122524721,1.4662420749664307
mean,euclidean,2.0,2.0,1.0183406766905194,0.9986335638143891,1.0434727668762207
mean,euclidean,2.0,3.0,0.9900045515220854,0.9867500417732018,1.2531671524047852
mean,euclidean,2.0,4.0,0.9763838055396221,0.9802685728114783,1.5717740058898926
mean,euclidean,2.0,5.0,0.9683049412784873,0.9764091477821469,1.5988919734954834
mean,euclidean,2.0,7.0,0.9590010564956769,0.9711593631909412,1.917572259902954
mean,euclidean,2.0,10.0,0.9518519997467554,0.9674239084156937,2.512272834777832
mean,euclidean,2.0,14.0,0.9470668055775127,0.9653047341630271,3.1645519733428955
mean,euclidean,2.0,19.0,0.9440613597556778,0.9634422756158265,3.972853899002075
mean,euclidean,2.0,27.0,0.9414685035676087,0.9621909041145978,8.401950359344482
mean,euclidean,2.0,37.0,0.9402676102466794,0.9612151834895291,6.982013940811157
mean,euclidean,2.0,52.0,0.939210471069682,0.9604756466372589,15.849275827407837
mean,euclidean,2.0,72.0,0.9388244745190238,0.9602345272752234,38.41963315010071
mean,euclidean,2.0,100.0,0.9387336224645632,0.9600658857631974,88.81934309005737
mean,euclidean,3.0,1.0,1.097921972782742,1.0378256653805509,1.3811450004577637
mean,euclidean,3.0,2.0,1.0009933968635831,0.9938247213358486,0.9709739685058594
mean,euclidean,3.0,3.0,0.9690088814381239,0.9797498559921574,1.1710360050201416
mean,euclidean,3.0,4.0,0.9539120161788386,0.9731650964678132,1.497666835784912
mean,euclidean,3.0,5.0,0.9450176624172153,0.9700328473194846,1.6617200374603271
mean,euclidean,3.0,7.0,0.9344334605699123,0.965427659020974,1.8025689125061035
mean,euclidean,3.0,10.0,0.9266734551178214,0.9612718252152928,2.5497400760650635
mean,euclidean,3.0,14.0,0.922039630377574,0.9585669865500783,2.8079779148101807
mean,euclidean,3.0,19.0,0.9195474158771659,0.957662951208975,4.0014519691467285
mean,euclidean,3.0,27.0,0.9175422400185089,0.9566855526690635,5.320044040679932
mean,euclidean,3.0,37.0,0.9166428086719005,0.9561427443391723,10.61245584487915
mean,euclidean,3.0,52.0,0.916567959027977,0.9559369672655688,15.36410403251648
mean,euclidean,3.0,72.0,0.9173503087787092,0.9560924729193239,39.28265976905823
mean,euclidean,3.0,100.0,0.9183863060117327,0.9562440389452719,86.92021107673645
mean,euclidean,4.0,1.0,1.0824194521168633,1.0347874296872168,1.3582971096038818
mean,euclidean,4.0,2.0,0.987256885553563,0.9934097739792704,0.9824390411376953
mean,euclidean,4.0,3.0,0.9556908810004143,0.978336015906057,1.224153995513916
mean,euclidean,4.0,4.0,0.9397441865571332,0.9706821066883505,1.5667901039123535
mean,euclidean,4.0,5.0,0.9302635299692366,0.9660029606621444,1.567262887954712
mean,euclidean,4.0,7.0,0.9203411700159403,0.9606625534908829,1.9682180881500244
mean,euclidean,4.0,10.0,0.9136780699548435,0.9572461291214124,2.487412929534912
mean,euclidean,4.0,14.0,0.9094267800413561,0.954739392928773,3.205028772354126
mean,euclidean,4.0,19.0,0.906934357000293,0.9532055448271839,3.925853967666626
mean,euclidean,4.0,27.0,0.9054934650270152,0.9526115368855833,8.175194263458252
mean,euclidean,4.0,37.0,0.9056315548878977,0.9523568327112776,11.38878321647644
mean,euclidean,4.0,52.0,0.9064807597374909,0.9526456250023275,14.969386100769043
mean,euclidean,4.0,72.0,0.9077207125550453,0.9527600592425894,37.347373962402344
mean,euclidean,4.0,100.0,0.9097034196801559,0.9532277366270546,101.26236009597778
mean,euclidean,7.0,1.0,1.0598254592954293,1.0219127696774963,1.3714101314544678
mean,euclidean,7.0,2.0,0.9648873855406661,0.9789878781239955,0.9783198833465576
mean,euclidean,7.0,3.0,0.9347822461696838,0.9646799524014564,1.137195110321045
mean,euclidean,7.0,4.0,0.9203528069461482,0.9568789420537703,1.409989833831787
mean,euclidean,7.0,5.0,0.9118608499164195,0.952411152177565,1.5139639377593994
mean,euclidean,7.0,7.0,0.9027358626107217,0.9477482557914212,1.9095847606658936
mean,euclidean,7.0,10.0,0.8971536111697205,0.9445744833582176,2.2960689067840576
mean,euclidean,7.0,14.0,0.8937595718286733,0.9425099702471463,3.029658317565918
mean,euclidean,7.0,19.0,0.892450341953215,0.9421441601449712,3.743222951889038
mean,euclidean,7.0,27.0,0.8920736638355683,0.9421347077477076,7.755738019943237
mean,euclidean,7.0,37.0,0.8931599407785276,0.9426288464210575,10.647845029830933
mean,euclidean,7.0,52.0,0.8950501392418613,0.9435934635711751,12.948941230773926
mean,euclidean,7.0,72.0,0.8974135710517899,0.9447429632655039,33.82081604003906
mean,euclidean,7.0,100.0,0.9005037683945041,0.9463548535694597,61.46467185020447
mean,euclidean,12.0,1.0,1.0312693255372882,1.0082759411614908,1.3280940055847168
mean,euclidean,12.0,2.0,0.9431476401375672,0.9653578870793028,0.9183268547058105
mean,euclidean,12.0,3.0,0.9146746542866675,0.9504191537478686,1.1157591342926025
mean,euclidean,12.0,4.0,0.9019789359299717,0.9437321170135515,1.3534910678863525
mean,euclidean,12.0,5.0,0.8944610286320781,0.939884988635108,1.5416839122772217
