fill_na,Sim_Metric,Components,k_neighboors,mae_test,mse_test,elapsed_time
mean,euclidean,1.0,1.0,1.6889528496579795,1.3225622569094824,0.14403104782104492
mean,euclidean,1.0,2.0,1.3548142659767302,1.1528141470388602,0.13906502723693848
mean,euclidean,1.0,3.0,1.3081262179356226,1.1369406356255476,0.14102697372436523
mean,euclidean,1.0,4.0,1.3948244720762726,1.1652384602469557,0.14122390747070312
mean,euclidean,1.0,5.0,1.3884188610287285,1.153636396282193,0.15007376670837402
mean,euclidean,1.0,7.0,1.3852715789119086,1.1353633333436997,0.15526700019836426
mean,euclidean,1.0,10.0,1.3690707440246874,1.1225472086382777,0.16345596313476562
mean,euclidean,1.0,14.0,1.340371764153034,1.1145227011791057,0.17864322662353516
mean,euclidean,1.0,19.0,1.2904640231442985,1.1109595330180462,0.19032502174377441
mean,euclidean,1.0,27.0,1.3297882920113882,1.124874805256204,0.21484375
mean,euclidean,1.0,37.0,1.3007392116199803,1.1251792309450535,0.25145483016967773
mean,euclidean,1.0,52.0,1.3359904898214725,1.1258832509588066,0.28681325912475586
mean,euclidean,1.0,72.0,1.3710200185294328,1.158380534979948,0.34287285804748535
mean,euclidean,1.0,100.0,1.428204636262667,1.1900915432161472,0.42287492752075195
mean,euclidean,2.0,1.0,1.8115820820049144,1.3332283179151372,0.14293789863586426
mean,euclidean,2.0,2.0,1.5451625812740581,1.2279460875120403,0.14215803146362305
mean,euclidean,2.0,3.0,1.4633619116826386,1.1784296619493237,0.14076495170593262
mean,euclidean,2.0,4.0,1.4165324587109906,1.163345378139375,0.15073084831237793
mean,euclidean,2.0,5.0,1.3939699836960766,1.1633426117052021,0.1585099697113037
mean,euclidean,2.0,7.0,1.3613532492751896,1.1501707305236315,0.162675142288208
mean,euclidean,2.0,10.0,1.3421091658561723,1.144095978767406,0.16741681098937988
mean,euclidean,2.0,14.0,1.3237130184734298,1.136975846422911,0.1813819408416748
mean,euclidean,2.0,19.0,1.3174871676968265,1.1296940213293472,0.1985180377960205
mean,euclidean,2.0,27.0,1.313640031830077,1.132945607271644,0.22181296348571777
mean,euclidean,2.0,37.0,1.315065411565995,1.1325880604078535,0.25578808784484863
mean,euclidean,2.0,52.0,1.3156208684072326,1.1350287272652,0.31026315689086914
mean,euclidean,2.0,72.0,1.3242070624790636,1.138580011773105,0.3577301502227783
mean,euclidean,2.0,100.0,1.3354054940614264,1.145401501326442,0.4338407516479492
mean,euclidean,3.0,1.0,1.7620335417770971,1.3258226281425636,0.13644695281982422
mean,euclidean,3.0,2.0,1.4271503759037665,1.1895483539224974,0.13812875747680664
mean,euclidean,3.0,3.0,1.3669896693264687,1.170548960192867,0.141143798828125
mean,euclidean,3.0,4.0,1.3357363162466407,1.1530568157463519,0.15951800346374512
mean,euclidean,3.0,5.0,1.3085108643082797,1.147858333611243,0.17766189575195312
mean,euclidean,3.0,7.0,1.2835010739710973,1.1430187558945586,0.18512821197509766
mean,euclidean,3.0,10.0,1.2742162619675383,1.1366061402069556,0.19596481323242188
mean,euclidean,3.0,14.0,1.2640926108457107,1.131881357230222,0.21784114837646484
mean,euclidean,3.0,19.0,1.2585175805463464,1.132558190707393,0.234360933303833
mean,euclidean,3.0,27.0,1.2580016003738745,1.1333160503703956,0.25302886962890625
mean,euclidean,3.0,37.0,1.2646444446551723,1.1382122770422032,0.2819082736968994
mean,euclidean,3.0,52.0,1.2741725122064118,1.1379803636827623,0.3643608093261719
mean,euclidean,3.0,72.0,1.287063317087437,1.142034485813462,0.519310712814331
mean,euclidean,3.0,100.0,1.3045724252865396,1.1473957804103552,0.5422461032867432
mean,euclidean,4.0,1.0,1.6656149246882805,1.288415539438618,0.14681386947631836
mean,euclidean,4.0,2.0,1.4624320738858698,1.2075484387950624,0.13989615440368652
mean,euclidean,4.0,3.0,1.3660874153953189,1.1699988355269793,0.14072322845458984
mean,euclidean,4.0,4.0,1.3181627735196415,1.1405771980543224,0.15067219734191895
mean,euclidean,4.0,5.0,1.2969658907968893,1.1335547419236627,0.15465617179870605
mean,euclidean,4.0,7.0,1.2705957052900811,1.1187173391964356,0.15981483459472656
mean,euclidean,4.0,10.0,1.254991541949862,1.1165647592231047,0.17075824737548828
mean,euclidean,4.0,14.0,1.2437617105133119,1.1114305978188233,0.18742990493774414
mean,euclidean,4.0,19.0,1.2370622520735925,1.10923931225762,0.19112324714660645
mean,euclidean,4.0,27.0,1.2310681682385725,1.1037138057819522,0.2254319190979004
mean,euclidean,4.0,37.0,1.237856210378988,1.105743161772998,0.2683131694793701
mean,euclidean,4.0,52.0,1.2489055969569924,1.1126562141969676,0.37024402618408203
mean,euclidean,4.0,72.0,1.2643896965904744,1.1172163019978383,0.3871018886566162
mean,euclidean,4.0,100.0,1.2869800143334753,1.1237359324247431,0.4558882713317871
mean,euclidean,7.0,1.0,1.6155461120823467,1.2676376827660347,0.13668394088745117
mean,euclidean,7.0,2.0,1.4085578414722013,1.1854257164318596,0.13817405700683594
mean,euclidean,7.0,3.0,1.3225240170449541,1.1738697513503362,0.13988685607910156
mean,euclidean,7.0,4.0,1.2822079180611348,1.1510530096159632,0.15094494819641113
mean,euclidean,7.0,5.0,1.258491122268233,1.1363624113632618,0.16494011878967285
mean,euclidean,7.0,7.0,1.237039789170996,1.1220958345040681,0.15926194190979004
mean,euclidean,7.0,10.0,1.2188308981503349,1.1071671664864189,0.1697831153869629
mean,euclidean,7.0,14.0,1.2213111347804193,1.1078546813088632,0.18510890007019043
mean,euclidean,7.0,19.0,1.2280346196027294,1.1094850798462688,0.19694805145263672
mean,euclidean,7.0,27.0,1.23924893016327,1.1120666186355876,0.22425198554992676
mean,euclidean,7.0,37.0,1.2522007053348447,1.118840665307683,0.2532520294189453
mean,euclidean,7.0,52.0,1.2649640768704882,1.1266657531440536,0.3065211772918701
mean,euclidean,7.0,72.0,1.2813288747405955,1.1274033195146353,0.3590848445892334
mean,euclidean,7.0,100.0,1.3045322506515364,1.135365774652774,0.46882033348083496
mean,euclidean,12.0,1.0,1.530423689206705,1.2671628646013513,0.14066100120544434
mean,euclidean,12.0,2.0,1.3023289443733304,1.1383130713466156,0.143355131149292
mean,euclidean,12.0,3.0,1.2561578625032839,1.122588995167938,0.14426803588867188
mean,euclidean,12.0,4.0,1.230362587957124,1.0984806649563534,0.16704487800598145
mean,euclidean,12.0,5.0,1.2106571113978222,1.1025569246448452,0.16004323959350586
mean,euclidean,12.0,7.0,1.2023510803733233,1.1021727490446809,0.16074180603027344
mean,euclidean,12.0,10.0,1.2044471290495564,1.105740217373917,0.17276978492736816
mean,euclidean,12.0,14.0,1.210196058200163,1.114431645217237,0.1839148998260498
mean,euclidean,12.0,19.0,1.218135470444931,1.1133656401291319,0.19670915603637695
mean,euclidean,12.0,27.0,1.2347167123776277,1.120368012578489,0.22525477409362793
mean,euclidean,12.0,37.0,1.248020150874768,1.1256620762040679,0.25429606437683105
mean,euclidean,12.0,52.0,1.2686137969504154,1.1317462630010409,0.30245399475097656
mean,euclidean,12.0,72.0,1.289503439454492,1.1370522699337073,0.35886502265930176
mean,euclidean,12.0,100.0,1.3168360543464808,1.1461750005425295,0.4433748722076416
mean,euclidean,19.0,1.0,1.5470813577749696,1.2446592407906176,0.1511240005493164
mean,euclidean,19.0,2.0,1.3017830611279506,1.1409112615443722,0.14286375045776367
mean,euclidean,19.0,3.0,1.233446233775795,1.1118055964646538,0.14508700370788574
mean,euclidean,19.0,4.0,1.2068975099584962,1.0956467078707346,0.15352296829223633
mean,euclidean,19.0,5.0,1.1965302196754186,1.0889475397302628,0.15541720390319824
mean,euclidean,19.0,7.0,1.1883731015026435,1.0785004958365594,0.1612699031829834
mean,euclidean,19.0,10.0,1.183336740850488,1.085647356569675,0.1677999496459961
mean,euclidean,19.0,14.0,1.1898092915762288,1.0877794737659598,0.1832723617553711
mean,euclidean,19.0,19.0,1.19208390084648,1.0963406571932302,0.19462299346923828
mean,euclidean,19.0,27.0,1.2074151282813177,1.1007762691436642,0.22577810287475586
mean,euclidean,19.0,37.0,1.2260463232198622,1.1099967734449065,0.2508862018585205
mean,euclidean,19.0,52.0,1.2533408552978031,1.1199276547992114,0.3151071071624756
mean,euclidean,19.0,72.0,1.2823383753565214,1.1281769561179968,0.36430811882019043
mean,euclidean,19.0,100.0,1.3306542190698496,1.1549863232982642,0.4408988952636719
mean,euclidean,32.0,1.0,1.4185833626505402,1.2271857670962187,0.15513181686401367
mean,euclidean,32.0,2.0,1.229134524328176,1.1163658527023341,0.14213228225708008
mean,euclidean,32.0,3.0,1.1975228085216494,1.1112546217096408,0.14678692817687988
mean,euclidean,32.0,4.0,1.1773175764139625,1.097455444952374,0.15684008598327637
mean,euclidean,32.0,5.0,1.1665036064435665,1.088291706605105,0.1566779613494873
mean,euclidean,32.0,7.0,1.1551148761431755,1.0865398983726475,0.1607520580291748
mean,euclidean,32.0,10.0,1.1624797793443127,1.0840199455030168,0.17519807815551758
mean,euclidean,32.0,14.0,1.1767655130986399,1.093094349968608,0.185683012008667
mean,euclidean,32.0,19.0,1.191537384668262,1.1024167583407167,0.19528913497924805
mean,euclidean,32.0,27.0,1.2117946968592,1.108398844725071,0.2237987518310547
mean,euclidean,32.0,37.0,1.231420546950255,1.1179610005285352,0.25431084632873535
mean,euclidean,32.0,52.0,1.265326345370371,1.132106020701472,0.308063268661499
mean,euclidean,32.0,72.0,1.304494644965218,1.1524838458348041,0.36534714698791504
mean,euclidean,32.0,100.0,1.360017554503098,1.1789667302591138,0.4354701042175293
mean,euclidean,52.0,1.0,1.3957044360698028,1.1963214110695684,0.14102816581726074
mean,euclidean,52.0,2.0,1.2169114819041216,1.1280345172262456,0.14565610885620117
mean,euclidean,52.0,3.0,1.1790487191136152,1.1016898120138672,0.14710497856140137
mean,euclidean,52.0,4.0,1.1615025457121384,1.0883484797168008,0.15610599517822266
mean,euclidean,52.0,5.0,1.1614959030573389,1.0910420232631672,0.1571519374847412
mean,euclidean,52.0,7.0,1.156856354342958,1.0826312602295625,0.1659708023071289
mean,euclidean,52.0,10.0,1.1674564870254833,1.0811734532833517,0.17106008529663086
mean,euclidean,52.0,14.0,1.1861067600768744,1.0879582736470252,0.19265270233154297
mean,euclidean,52.0,19.0,1.2083964501623514,1.097473721005715,0.1943058967590332
mean,euclidean,52.0,27.0,1.231280502130779,1.109927496965854,0.22279095649719238
mean,euclidean,52.0,37.0,1.2601863483571658,1.1238622364324975,0.25597476959228516
mean,euclidean,52.0,52.0,1.3019087923830661,1.1478514084647018,0.298001766204834
mean,euclidean,52.0,72.0,1.3593455500336038,1.1705827940317546,0.36045289039611816
mean,euclidean,52.0,100.0,1.4237114004535762,1.1948186717871963,0.43625664710998535
mean,euclidean,85.0,1.0,1.3564682852903647,1.1899083555181171,0.14611482620239258
mean,euclidean,85.0,2.0,1.211762536546369,1.122716300283177,0.14331698417663574
mean,euclidean,85.0,3.0,1.1660791028422204,1.0936218633273846,0.1445777416229248
mean,euclidean,85.0,4.0,1.1587204998231966,1.091097770671662,0.1580801010131836
mean,euclidean,85.0,5.0,1.1559701340258617,1.0917551038122846,0.15864014625549316
mean,euclidean,85.0,7.0,1.1489894484282508,1.0873482074696068,0.16317105293273926
mean,euclidean,85.0,10.0,1.1660650161491137,1.0864209508170728,0.1747148036956787
mean,euclidean,85.0,14.0,1.1819439584752427,1.0925246479360848,0.19375085830688477
mean,euclidean,85.0,19.0,1.2081133555343215,1.105908232320369,0.19548583030700684
mean,euclidean,85.0,27.0,1.2378815334716862,1.114460119153365,0.22418975830078125
mean,euclidean,85.0,37.0,1.2780913134831948,1.1262757689170702,0.2567729949951172
mean,euclidean,85.0,52.0,1.3373629949339654,1.1432008756943453,0.3035571575164795
mean,euclidean,85.0,72.0,1.3988206278957152,1.16187236900527,0.36130785942077637
mean,euclidean,85.0,100.0,1.4655150377446469,1.1842192955524125,0.42853212356567383
mean,euclidean,139.0,1.0,1.4150941370389134,1.196377515401986,0.14937210083007812
mean,euclidean,139.0,2.0,1.2245329074234506,1.1437884626446342,0.14529895782470703
mean,euclidean,139.0,3.0,1.1815044474729546,1.1111081164044032,0.14635920524597168
mean,euclidean,139.0,4.0,1.1751958585681723,1.088156641169123,0.1560659408569336
mean,euclidean,139.0,5.0,1.1694535881599901,1.0868232841126015,0.16051912307739258
mean,euclidean,139.0,7.0,1.169058702838382,1.0857769153431889,0.1667490005493164
mean,euclidean,139.0,10.0,1.1909988083935512,1.1006300269656861,0.1766819953918457
mean,euclidean,139.0,14.0,1.2080245332044404,1.1056195289549855,0.18644189834594727
mean,euclidean,139.0,19.0,1.224872572892612,1.1159173658680723,0.20454096794128418
mean,euclidean,139.0,27.0,1.2560143600975497,1.1239087284721798,0.22673916816711426
mean,euclidean,139.0,37.0,1.304585621415821,1.1354613640352544,0.2563037872314453
mean,euclidean,139.0,52.0,1.3586085693902077,1.154399231654838,0.3036050796508789
mean,euclidean,139.0,72.0,1.4284478649429218,1.1734760572881535,0.3664729595184326
mean,euclidean,139.0,100.0,1.5011331236653063,1.1957358819154373,0.43582701683044434
mean,euclidean,228.0,1.0,1.4099225544350424,1.1717268948464867,0.16423988342285156
mean,euclidean,228.0,2.0,1.2232633876030357,1.109701421344255,0.14860796928405762
mean,euclidean,228.0,3.0,1.183919574614117,1.0897884763885346,0.15000295639038086
mean,euclidean,228.0,4.0,1.1774967198416353,1.0907824014897303,0.15723705291748047
mean,euclidean,228.0,5.0,1.180457677044061,1.0997408873358863,0.16511893272399902
mean,euclidean,228.0,7.0,1.1708164315974823,1.091251980372266,0.16812705993652344
mean,euclidean,228.0,10.0,1.1864194927293017,1.0922566654375376,0.17833328247070312
mean,euclidean,228.0,14.0,1.2044279868209362,1.1055098337186002,0.19460296630859375
mean,euclidean,228.0,19.0,1.2269484063825777,1.1095578665321044,0.19971823692321777
mean,euclidean,228.0,27.0,1.2793964210080166,1.1306937645088528,0.229356050491333
mean,euclidean,228.0,37.0,1.33491941227356,1.1523763041377832,0.256868839263916
mean,euclidean,228.0,52.0,1.3968639215442615,1.1735836238845445,0.3064582347869873
mean,euclidean,228.0,72.0,1.4592627966781988,1.194069731185282,0.36490488052368164
mean,euclidean,228.0,100.0,1.5355793975268792,1.2204154447157711,0.43558812141418457
mean,euclidean,373.0,1.0,1.3552852388090675,1.1652395382131568,0.15715909004211426
mean,euclidean,373.0,2.0,1.2403172229006203,1.1068691253481062,0.15113496780395508
mean,euclidean,373.0,3.0,1.179975323571929,1.0878880757831595,0.15814495086669922
mean,euclidean,373.0,4.0,1.1615148700342859,1.0828298165870003,0.16607379913330078
mean,euclidean,373.0,5.0,1.1545553101112274,1.0880283632346244,0.1696770191192627
mean,euclidean,373.0,7.0,1.1606035640477805,1.0909548128109758,0.17005419731140137
mean,euclidean,373.0,10.0,1.1789078852418395,1.0978766969854294,0.18088078498840332
mean,euclidean,373.0,14.0,1.2040742995777056,1.1115764106550334,0.19587302207946777
mean,euclidean,373.0,19.0,1.2327696686810028,1.1162628747475836,0.20729684829711914
mean,euclidean,373.0,27.0,1.2805893871134812,1.1247446124339566,0.23253178596496582
